product_a,product_b,cat_a,cat_b,coint_pval,adf_pval,hedge_ratio,spread_mean,spread_std,half_life
PANEL_1X2,PANEL_2X2,panels,panels,0.3113,0.1337,-0.4698,13421.63,497.5,2421.4
PANEL_1X2,PANEL_1X4,panels,panels,0.558,0.3121,-0.2179,10970.5,561.22,3729.7
PANEL_1X2,PANEL_2X4,panels,panels,0.555,0.3094,0.121,7560.09,585.02,3938.4
PANEL_1X2,PANEL_4X4,panels,panels,0.7711,0.5464,0.3615,5351.82,566.31,4747.2
PANEL_1X2,PEBBLES_XS,panels,pebbles,0.7851,0.5652,0.0532,8528.54,584.85,5385.5
PANEL_1X2,PEBBLES_S,panels,pebbles,0.5204,0.2797,-0.1549,10306.44,575.62,3667.8
PANEL_1X2,PEBBLES_M,panels,pebbles,0.5804,0.3324,0.2191,6674.32,570.35,3740.6
PANEL_1X2,PEBBLES_L,panels,pebbles,0.6653,0.4181,-0.1065,10006.4,586.18,4432.2
PANEL_1X2,PEBBLES_XL,panels,pebbles,0.7575,0.5287,-0.0211,9202.19,588.72,5160.5
PANEL_1X2,UV_VISOR_YELLOW,panels,uv_visor,0.2587,0.1044,-0.632,15847.32,402.93,1636.5
PANEL_1X2,UV_VISOR_AMBER,panels,uv_visor,0.8041,0.5915,0.0948,8172.44,582.29,5575.3
PANEL_1X2,UV_VISOR_ORANGE,panels,uv_visor,0.6553,0.4073,-0.1919,10923.78,580.38,4292.3
PANEL_1X2,UV_VISOR_RED,panels,uv_visor,0.1296,0.0427,0.4667,3759.61,522.28,2071.2
PANEL_1X2,UV_VISOR_MAGENTA,panels,uv_visor,0.8076,0.5965,-0.2525,11728.82,569.21,5253.9
PANEL_1X2,ROBOT_VACUUMING,panels,robots,0.6151,0.3657,-0.1069,9902.24,587.14,4228.5
PANEL_1X2,ROBOT_MOPPING,panels,robots,0.547,0.3024,0.1566,7184.85,577.56,3834.5
PANEL_1X2,ROBOT_DISHES,panels,robots,0.663,0.4156,0.0831,8090.68,588.1,4446.5
PANEL_1X2,ROBOT_LAUNDRY,panels,robots,0.4519,0.2261,-0.396,12812.53,537.42,3035.1
PANEL_1X2,ROBOT_IRONING,panels,robots,0.4435,0.2199,-0.1913,10587.42,571.18,3420.8
PANEL_1X2,GALAXY_SOUNDS_DARK_MATTER,panels,galaxy,0.4167,0.2009,-0.8977,18103.01,509.78,2098.2
PANEL_1X2,GALAXY_SOUNDS_BLACK_HOLES,panels,galaxy,0.4818,0.2488,0.1247,7492.83,577.68,3622.4
PANEL_1X2,GALAXY_SOUNDS_PLANETARY_RINGS,panels,galaxy,0.4245,0.2063,-0.472,14004.08,466.22,2448.2
PANEL_1X2,GALAXY_SOUNDS_SOLAR_WINDS,panels,galaxy,0.5131,0.2737,0.4048,4698.05,547.75,3239.5
PANEL_1X2,GALAXY_SOUNDS_SOLAR_FLAMES,panels,galaxy,0.7127,0.4731,-0.4894,14351.67,547.23,3827.7
PANEL_1X2,TRANSLATOR_SPACE_GRAY,panels,translators,0.5355,0.2924,-0.2123,10925.58,580.18,3776.5
PANEL_1X2,TRANSLATOR_ASTRO_BLACK,panels,translators,0.7904,0.5724,0.3645,5501.62,562.26,4910.8
PANEL_1X2,TRANSLATOR_ECLIPSE_CHARCOAL,panels,translators,0.1394,0.0468,-0.9745,18486.43,477.38,1485.1
PANEL_1X2,TRANSLATOR_GRAPHITE_MIST,panels,translators,0.7078,0.4671,0.0988,7926.36,587.85,4750.6
PANEL_1X2,TRANSLATOR_VOID_BLUE,panels,translators,0.8271,0.6252,-0.3338,12546.83,557.34,5238.2
PANEL_1X2,SLEEP_POD_SUEDE,panels,sleep_pods,0.7932,0.5763,-0.2096,11311.66,558.95,5165.9
PANEL_1X2,SLEEP_POD_LAMB_WOOL,panels,sleep_pods,0.0385,0.0098,0.8466,-137.31,475.02,1300.2
PANEL_1X2,SLEEP_POD_POLYESTER,panels,sleep_pods,0.7796,0.5577,-0.1048,10163.12,580.96,5261.6
PANEL_1X2,SLEEP_POD_NYLON,panels,sleep_pods,0.1159,0.0372,0.8534,698.69,399.38,1321.9
PANEL_1X2,SLEEP_POD_COTTON,panels,sleep_pods,0.7011,0.4591,0.0075,8835.83,589.88,4752.3
PANEL_1X2,MICROCHIP_CIRCLE,panels,microchips,0.4332,0.2125,0.6649,2795.33,471.83,2369.0
PANEL_1X2,MICROCHIP_OVAL,panels,microchips,0.4768,0.2448,-0.095,9699.43,571.21,3579.3
PANEL_1X2,MICROCHIP_SQUARE,panels,microchips,0.8035,0.5908,-0.1042,10338.99,558.25,5211.2
PANEL_1X2,MICROCHIP_RECTANGLE,panels,microchips,0.762,0.5346,0.2644,6613.66,555.39,4582.9
PANEL_1X2,MICROCHIP_TRIANGLE,panels,microchips,0.2927,0.1231,-0.3403,12218.72,517.29,2434.8
PANEL_1X2,OXYGEN_SHAKE_MORNING_BREATH,panels,oxygen,0.6753,0.4293,-0.1217,10140.25,584.54,4501.5
PANEL_1X2,OXYGEN_SHAKE_EVENING_BREATH,panels,oxygen,0.6751,0.4291,0.6041,3322.0,538.21,3259.6
PANEL_1X2,OXYGEN_SHAKE_MINT,panels,oxygen,0.6027,0.3536,-0.4448,13299.19,544.89,3504.4
PANEL_1X2,OXYGEN_SHAKE_CHOCOLATE,panels,oxygen,0.3588,0.1625,0.6078,3113.94,481.56,2183.9
PANEL_1X2,OXYGEN_SHAKE_GARLIC,panels,oxygen,0.5987,0.3497,0.0568,8245.0,587.42,4173.5
PANEL_1X2,SNACKPACK_CHOCOLATE,panels,snacks,0.3543,0.1598,-1.0535,19292.98,550.71,2459.6
PANEL_1X2,SNACKPACK_VANILLA,panels,snacks,0.1543,0.0532,1.5951,-7183.8,516.64,1598.8
PANEL_1X2,SNACKPACK_PISTACHIO,panels,snacks,0.6694,0.4227,-0.0879,9757.19,589.69,4545.0
PANEL_1X2,SNACKPACK_STRAWBERRY,panels,snacks,0.7897,0.5715,-0.3505,12675.76,575.99,5100.5
PANEL_1X2,SNACKPACK_RASPBERRY,panels,snacks,0.6634,0.4161,0.2543,6360.03,588.33,4408.6
PANEL_2X2,PANEL_1X4,panels,panels,0.6253,0.3759,0.5213,4677.84,516.07,3179.4
PANEL_2X2,PANEL_2X4,panels,panels,0.7269,0.4909,-0.5185,15417.94,591.26,3957.1
PANEL_2X2,PANEL_4X4,panels,panels,0.7037,0.4623,-0.7295,16782.84,586.68,3509.0
PANEL_2X2,PEBBLES_XS,panels,pebbles,0.8025,0.5893,0.1935,8143.78,613.74,5226.6
PANEL_2X2,PEBBLES_S,panels,pebbles,0.4013,0.1903,0.5602,4572.44,487.26,2037.6
PANEL_2X2,PEBBLES_M,panels,pebbles,0.6032,0.3541,-0.507,14779.76,577.71,3003.5
PANEL_2X2,PEBBLES_L,panels,pebbles,0.7609,0.5332,-0.4265,13915.62,620.41,4298.2
PANEL_2X2,PEBBLES_XL,panels,pebbles,0.8073,0.5961,-0.1237,11213.24,637.98,5386.7
PANEL_2X2,UV_VISOR_YELLOW,panels,uv_visor,0.7209,0.4836,0.3082,6199.43,641.24,4724.5
PANEL_2X2,UV_VISOR_AMBER,panels,uv_visor,0.7505,0.5199,0.3468,6832.57,579.48,4546.3
PANEL_2X2,UV_VISOR_ORANGE,panels,uv_visor,0.8407,0.6461,-0.4285,14044.62,632.2,5566.3
PANEL_2X2,UV_VISOR_RED,panels,uv_visor,0.071,0.0204,-0.9386,19960.08,388.69,1021.1
PANEL_2X2,UV_VISOR_MAGENTA,panels,uv_visor,0.795,0.5787,-0.3537,13507.38,638.94,5248.4
PANEL_2X2,ROBOT_VACUUMING,panels,robots,0.7071,0.4664,0.6498,3620.43,578.27,3758.0
PANEL_2X2,ROBOT_MOPPING,panels,robots,0.6896,0.4456,-0.4823,14929.92,564.32,3637.5
PANEL_2X2,ROBOT_DISHES,panels,robots,0.6686,0.4218,-0.6526,16114.86,568.66,2022.8
PANEL_2X2,ROBOT_LAUNDRY,panels,robots,0.0804,0.0237,0.9269,471.98,362.11,1044.1
PANEL_2X2,ROBOT_IRONING,panels,robots,0.605,0.3558,0.5835,4499.49,502.95,2704.9
PANEL_2X2,GALAXY_SOUNDS_DARK_MATTER,panels,galaxy,0.8153,0.6078,0.2584,6934.41,669.36,5886.4
PANEL_2X2,GALAXY_SOUNDS_BLACK_HOLES,panels,galaxy,0.6797,0.4343,-0.4921,15219.42,482.59,3044.5
PANEL_2X2,GALAXY_SOUNDS_PLANETARY_RINGS,panels,galaxy,0.7813,0.56,0.2236,7168.96,652.7,5391.9
PANEL_2X2,GALAXY_SOUNDS_SOLAR_WINDS,panels,galaxy,0.549,0.3041,-0.7639,17550.19,533.36,2589.5
PANEL_2X2,GALAXY_SOUNDS_SOLAR_FLAMES,panels,galaxy,0.7054,0.4642,0.3727,5442.63,653.61,4516.2
PANEL_2X2,TRANSLATOR_SPACE_GRAY,panels,translators,0.7232,0.4864,0.6651,3303.23,586.13,3849.3
PANEL_2X2,TRANSLATOR_ASTRO_BLACK,panels,translators,0.8352,0.6375,-0.04,9952.41,674.51,6463.6
PANEL_2X2,TRANSLATOR_ECLIPSE_CHARCOAL,panels,translators,0.8301,0.6298,0.2302,7317.88,669.81,6158.9
PANEL_2X2,TRANSLATOR_GRAPHITE_MIST,panels,translators,0.4887,0.2541,-0.8392,18040.1,528.76,2382.5
PANEL_2X2,TRANSLATOR_VOID_BLUE,panels,translators,0.8292,0.6283,-0.2318,12093.91,661.3,6060.2
PANEL_2X2,SLEEP_POD_SUEDE,panels,sleep_pods,0.831,0.6312,-0.192,11764.71,652.3,6061.8
PANEL_2X2,SLEEP_POD_LAMB_WOOL,panels,sleep_pods,0.7387,0.5052,-0.5723,15701.14,632.01,4273.0
PANEL_2X2,SLEEP_POD_POLYESTER,panels,sleep_pods,0.6857,0.4411,-0.3924,14222.5,555.18,3686.6
PANEL_2X2,SLEEP_POD_NYLON,panels,sleep_pods,0.419,0.2025,-0.898,18230.47,496.62,2093.3
PANEL_2X2,SLEEP_POD_COTTON,panels,sleep_pods,0.5399,0.2962,-0.5161,15526.13,495.43,2588.3
PANEL_2X2,MICROCHIP_CIRCLE,panels,microchips,0.7044,0.4631,-0.4687,13895.78,626.94,4267.6
PANEL_2X2,MICROCHIP_OVAL,panels,microchips,0.7273,0.4913,0.3051,7081.17,480.82,3421.4
PANEL_2X2,MICROCHIP_SQUARE,panels,microchips,0.8337,0.6352,-0.1044,10995.38,647.2,6067.6
PANEL_2X2,MICROCHIP_RECTANGLE,panels,microchips,0.8419,0.6479,0.1296,8444.56,667.72,6444.6
PANEL_2X2,MICROCHIP_TRIANGLE,panels,microchips,0.3391,0.1504,0.6486,3293.66,403.92,1496.0
PANEL_2X2,OXYGEN_SHAKE_MORNING_BREATH,panels,oxygen,0.7475,0.5161,0.4087,5489.26,619.81,4656.2
PANEL_2X2,OXYGEN_SHAKE_EVENING_BREATH,panels,oxygen,0.6805,0.4352,-0.52,14398.42,641.96,3886.5
PANEL_2X2,OXYGEN_SHAKE_MINT,panels,oxygen,0.2084,0.0784,1.0181,-440.03,433.26,1404.8
PANEL_2X2,OXYGEN_SHAKE_CHOCOLATE,panels,oxygen,0.5785,0.3307,-0.7359,16609.59,533.99,2463.7
PANEL_2X2,OXYGEN_SHAKE_GARLIC,panels,oxygen,0.7586,0.5301,-0.3909,14238.28,562.56,4086.2
PANEL_2X2,SNACKPACK_CHOCOLATE,panels,snacks,0.3662,0.1672,1.8561,-8693.4,562.61,1843.4
PANEL_2X2,SNACKPACK_VANILLA,panels,snacks,0.5479,0.3032,-1.5949,25680.6,611.79,2562.8
PANEL_2X2,SNACKPACK_PISTACHIO,panels,snacks,0.7366,0.5026,1.2675,-2459.82,631.56,4132.8
PANEL_2X2,SNACKPACK_STRAWBERRY,panels,snacks,0.6998,0.4576,-0.8202,18358.23,605.33,3672.2
PANEL_2X2,SNACKPACK_RASPBERRY,panels,snacks,0.749,0.518,0.8073,1440.92,660.72,4400.2
PANEL_1X4,PANEL_2X4,panels,panels,0.7329,0.4981,-0.8034,18447.74,664.63,3753.4
PANEL_1X4,PANEL_4X4,panels,panels,0.8655,0.6863,-0.4159,13506.14,812.08,8051.3
PANEL_1X4,PEBBLES_XS,panels,pebbles,0.7161,0.4773,0.3942,6478.38,607.48,4048.5
PANEL_1X4,PEBBLES_S,panels,pebbles,0.6913,0.4476,0.5912,4117.11,673.02,3772.7
PANEL_1X4,PEBBLES_M,panels,pebbles,0.0983,0.0303,-0.9698,19351.22,500.63,1123.0
PANEL_1X4,PEBBLES_L,panels,pebbles,0.7692,0.5439,-0.6554,16066.19,727.48,4330.7
PANEL_1X4,PEBBLES_XL,panels,pebbles,0.867,0.6887,-0.1667,11602.5,779.67,7473.2
PANEL_1X4,UV_VISOR_YELLOW,panels,uv_visor,0.8393,0.6439,0.2187,7001.07,820.59,7963.7
PANEL_1X4,UV_VISOR_AMBER,panels,uv_visor,0.7204,0.483,0.5687,4898.45,611.73,4385.9
PANEL_1X4,UV_VISOR_ORANGE,panels,uv_visor,0.851,0.6623,-0.8072,17814.22,705.73,5444.3
PANEL_1X4,UV_VISOR_RED,panels,uv_visor,0.6709,0.4244,-0.8511,18813.96,667.37,3502.4
PANEL_1X4,UV_VISOR_MAGENTA,panels,uv_visor,0.7367,0.5027,-0.7346,17560.63,701.75,4286.3
PANEL_1X4,ROBOT_VACUUMING,panels,robots,0.3714,0.1706,1.2483,-2045.19,499.18,1751.8
PANEL_1X4,ROBOT_MOPPING,panels,robots,0.1012,0.0314,-0.9514,19958.7,403.55,1101.7
PANEL_1X4,ROBOT_DISHES,panels,robots,0.8338,0.6354,-0.7156,16567.01,732.76,2992.4
PANEL_1X4,ROBOT_LAUNDRY,panels,robots,0.4117,0.1975,1.033,-749.55,541.19,2102.0
PANEL_1X4,ROBOT_IRONING,panels,robots,0.3262,0.1426,0.918,1409.92,441.22,1504.0
PANEL_1X4,GALAXY_SOUNDS_DARK_MATTER,panels,galaxy,0.8798,0.7108,-0.1796,11233.99,831.92,9295.3
PANEL_1X4,GALAXY_SOUNDS_BLACK_HOLES,panels,galaxy,0.8737,0.7002,-0.4957,15081.29,685.51,6455.5
PANEL_1X4,GALAXY_SOUNDS_PLANETARY_RINGS,panels,galaxy,0.8919,0.7327,-0.1458,10967.26,826.53,9779.0
PANEL_1X4,GALAXY_SOUNDS_SOLAR_WINDS,panels,galaxy,0.1123,0.0357,-1.2773,22729.46,466.81,1138.1
PANEL_1X4,GALAXY_SOUNDS_SOLAR_FLAMES,panels,galaxy,0.5486,0.3038,0.7098,1524.09,770.4,3832.1
PANEL_1X4,TRANSLATOR_SPACE_GRAY,panels,translators,0.8762,0.7046,0.4241,5397.53,806.32,8369.3
PANEL_1X4,TRANSLATOR_ASTRO_BLACK,panels,translators,0.8096,0.5994,0.7563,2299.42,747.27,5487.5
PANEL_1X4,TRANSLATOR_ECLIPSE_CHARCOAL,panels,translators,0.8196,0.614,0.691,2616.4,797.01,6157.4
PANEL_1X4,TRANSLATOR_GRAPHITE_MIST,panels,translators,0.423,0.2053,-1.1683,21179.86,595.81,2140.9
PANEL_1X4,TRANSLATOR_VOID_BLUE,panels,translators,0.846,0.6544,-0.5441,15305.98,772.19,6670.4
PANEL_1X4,SLEEP_POD_SUEDE,panels,sleep_pods,0.8088,0.5983,-0.4999,15094.64,702.32,5581.3
PANEL_1X4,SLEEP_POD_LAMB_WOOL,panels,sleep_pods,0.8202,0.6149,-0.6871,16751.0,784.23,5876.2
PANEL_1X4,SLEEP_POD_POLYESTER,panels,sleep_pods,0.7115,0.4717,-0.5474,15879.07,639.75,4105.0
PANEL_1X4,SLEEP_POD_NYLON,panels,sleep_pods,0.5879,0.3394,-1.051,19525.04,640.13,2928.7
PANEL_1X4,SLEEP_POD_COTTON,panels,sleep_pods,0.4743,0.2429,-0.7214,17714.06,534.3,2366.1
PANEL_1X4,MICROCHIP_CIRCLE,panels,microchips,0.8539,0.6671,-0.1963,11206.25,827.46,8477.9
PANEL_1X4,MICROCHIP_OVAL,panels,microchips,0.7904,0.5725,0.4389,5807.69,481.36,3625.0
PANEL_1X4,MICROCHIP_SQUARE,panels,microchips,0.7009,0.459,-0.3039,13529.27,621.45,3926.6
PANEL_1X4,MICROCHIP_RECTANGLE,panels,microchips,0.6855,0.4409,0.6651,3589.58,667.41,3693.8
PANEL_1X4,MICROCHIP_TRIANGLE,panels,microchips,0.7381,0.5044,0.6464,3136.35,636.73,3673.9
PANEL_1X4,OXYGEN_SHAKE_MORNING_BREATH,panels,oxygen,0.2341,0.0916,1.0356,-958.57,488.47,1601.5
PANEL_1X4,OXYGEN_SHAKE_EVENING_BREATH,panels,oxygen,0.5878,0.3393,-0.8725,17487.35,757.57,3405.8
PANEL_1X4,OXYGEN_SHAKE_MINT,panels,oxygen,0.6848,0.4401,0.9631,-77.8,675.36,3526.2
